,product_name,product_price,product_ram,product_memory,product_color,produc_url,img_url,Brand,,product_overview
12,Điện thoại Samsung Galaxy A23 6GB,4.890.000₫,,128GB,Cam,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a23-6gb,https://cdn.tgdd.vn/Products/Images/42/274359/Slider/Samsung-Galaxy-A23-1020x570.jpg,Điện máy xanh,,"  |Màn hình: PLS TFT LCD, 6.6, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP |Camera trước: 8 MP |Chip: Snapdragon 680 |RAM: 6 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 25 W"
13,Điện thoại Samsung Galaxy A23 6GB,4.890.000₫,,128GB,Xanh Dương,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a23-6gb,https://cdn.tgdd.vn/Products/Images/42/274359/Slider/Samsung-Galaxy-A23-1020x570.jpg,Điện máy xanh,,"  |Màn hình: PLS TFT LCD, 6.6, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP |Camera trước: 8 MP |Chip: Snapdragon 680 |RAM: 6 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 25 W"
14,Điện thoại Samsung Galaxy A23 5G 4GB,4.890.000₫,,128GB,Đen,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a23-5g,https://cdn.tgdd.vn/Products/Images/42/272016/Slider/samsung-galaxy-a23-1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.6, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP |Camera trước: 8 MP |Chip: Snapdragon 695 5G |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
15,Điện thoại Samsung Galaxy A23 5G 4GB,4.890.000₫,,128GB,Xanh Dương,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a23-5g,https://cdn.tgdd.vn/Products/Images/42/272016/Slider/samsung-galaxy-a23-1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.6, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP |Camera trước: 8 MP |Chip: Snapdragon 695 5G |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
16,Điện thoại OPPO A16,2.790.000₫,,32GB,Đen,https://www.dienmayxanh.com/dien-thoai/oppo-a16,https://cdn.tgdd.vn/Products/Images/42/240631/Slider/OPPO-A16--1--1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.52, HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 13 MP & Phụ 2 MP, 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 3 GB |Dung lượng lưu trữ: 32GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
17,Điện thoại OPPO A16,2.790.000₫,,32GB,Bạc,https://www.dienmayxanh.com/dien-thoai/oppo-a16,https://cdn.tgdd.vn/Products/Images/42/240631/Slider/OPPO-A16--1--1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.52, HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 13 MP & Phụ 2 MP, 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 3 GB |Dung lượng lưu trữ: 32GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
18,Điện thoại Samsung Galaxy A54 5G 256GB,9.990.000₫,,256GB,Tím,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a54,https://cdn.tgdd.vn/Products/Images/42/250103/Slider/samsung-galaxy-a54-thumb-yt-1020x570.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.4, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 12 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1380 8 nhân |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
19,Điện thoại Samsung Galaxy A54 5G 256GB,9.990.000₫,,256GB,Xanh Lá Mạ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a54,https://cdn.tgdd.vn/Products/Images/42/250103/Slider/samsung-galaxy-a54-thumb-yt-1020x570.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.4, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 12 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1380 8 nhân |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
20,Điện thoại Samsung Galaxy A54 5G 256GB,9.990.000₫,,256GB,Đen,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a54,https://cdn.tgdd.vn/Products/Images/42/250103/Slider/samsung-galaxy-a54-thumb-yt-1020x570.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.4, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 12 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1380 8 nhân |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
21,Điện thoại iPhone 12 128GB,17.190.000₫,,128GB,Đen,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,https://cdn.tgdd.vn/Products/Images/42/228736/Slider/iphone-12-1020x570.jpg,Điện máy xanh,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A14 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 2815 mAh, 20 W"
22,Điện thoại iPhone 12 128GB,17.190.000₫,,128GB,Đỏ,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,https://cdn.tgdd.vn/Products/Images/42/228736/Slider/iphone-12-1020x570.jpg,Điện máy xanh,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A14 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 2815 mAh, 20 W"
23,Điện thoại iPhone 12 128GB,17.190.000₫,,128GB,Xanh Dương,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,https://cdn.tgdd.vn/Products/Images/42/228736/Slider/iphone-12-1020x570.jpg,Điện máy xanh,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A14 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 2815 mAh, 20 W"
24,Điện thoại realme C33 (4GB/64GB),2.840.000₫,,64GB,Đen,https://www.dienmayxanh.com/dien-thoai/realme-c33,https://cdn.tgdd.vn/Products/Images/42/292247/Slider/realme-c33-thumb-1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 0.3 MP |Camera trước: 5 MP |Chip: Unisoc Tiger T612 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
25,Điện thoại realme C33 (4GB/64GB),2.840.000₫,,64GB,Xanh,https://www.dienmayxanh.com/dien-thoai/realme-c33,https://cdn.tgdd.vn/Products/Images/42/292247/Slider/realme-c33-thumb-1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 0.3 MP |Camera trước: 5 MP |Chip: Unisoc Tiger T612 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
26,Điện thoại iPhone 12 128GB,17.190.000₫,,128GB,Xanh lá,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,https://cdn.tgdd.vn/Products/Images/42/228736/Slider/iphone-12-1020x570.jpg,Điện máy xanh,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A14 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 2815 mAh, 20 W"
27,Điện thoại iPhone 12 128GB,17.190.000₫,,128GB,Trắng,https://www.dienmayxanh.com/dien-thoai/iphone-12-128gb,https://cdn.tgdd.vn/Products/Images/42/228736/Slider/iphone-12-1020x570.jpg,Điện máy xanh,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A14 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 2815 mAh, 20 W"
28,Điện thoại Samsung Galaxy A23 6GB,4.890.000₫,,128GB,Đen,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a23-6gb,https://cdn.tgdd.vn/Products/Images/42/274359/Slider/Samsung-Galaxy-A23-1020x570.jpg,Điện máy xanh,,"  |Màn hình: PLS TFT LCD, 6.6, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP |Camera trước: 8 MP |Chip: Snapdragon 680 |RAM: 6 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 25 W"
29,Điện thoại Itel it9010 4G,580.000₫,,"MicroSD, hỗ trợ tối đa 64GB",Xanh lá,https://www.dienmayxanh.com/dien-thoai/itel-it9010,https://cdn.tgdd.vn/Products/Images/42/279401/Slider/Itelit9010-1020x570.jpg,Điện máy xanh,,"  |Màn hình: LCD, 1.77, 256.000 màu |SIM: 2 Micro SIM, Hỗ trợ 4G |Danh bạ: 2000 số |Thẻ nhớ: MicroSD, hỗ trợ tối đa 64GB |Camera sau: 0.08 MP |Radio FM: Có |Jack cắm tai nghe: 3.5 mm |Pin: 1000 mAh"
30,Điện thoại Samsung Galaxy A14 6GB,4.090.000₫,,128GB,Đỏ đô,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a14,https://cdn.tgdd.vn/Products/Images/42/292770/Slider/samsung-galaxy-a14-6gb-tong-quan-1020x570.jpg,Điện máy xanh,,"  |Màn hình: PLS LCD, 6.6, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP |Camera trước: 13 MP |Chip: Exynos 850 |RAM: 6 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 15 W"
31,Điện thoại Samsung Galaxy A14 6GB,4.090.000₫,,128GB,Đen,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a14,https://cdn.tgdd.vn/Products/Images/42/292770/Slider/samsung-galaxy-a14-6gb-tong-quan-1020x570.jpg,Điện máy xanh,,"  |Màn hình: PLS LCD, 6.6, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP |Camera trước: 13 MP |Chip: Exynos 850 |RAM: 6 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 15 W"
32,Điện thoại Mobell M239 4G,390.000₫,,"MicroSD, hỗ trợ tối đa 64GB",Đen,https://www.dienmayxanh.com/dien-thoai/mobell-m239-4g,https://cdn.tgdd.vn/Products/Images/42/284122/Slider/mobell-m239-tong-quan-2-1020x570.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.77, 65.000 màu |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Danh bạ: 300 số |Thẻ nhớ: MicroSD, hỗ trợ tối đa 64GB |Camera sau: 8 MP |Radio FM: Có |Pin: 1000 mAh"
33,Điện thoại Mobell M239 4G,390.000₫,,"MicroSD, hỗ trợ tối đa 64GB",Đỏ,https://www.dienmayxanh.com/dien-thoai/mobell-m239-4g,https://cdn.tgdd.vn/Products/Images/42/284122/Slider/mobell-m239-tong-quan-2-1020x570.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.77, 65.000 màu |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Danh bạ: 300 số |Thẻ nhớ: MicroSD, hỗ trợ tối đa 64GB |Camera sau: 8 MP |Radio FM: Có |Pin: 1000 mAh"
34,Điện thoại Masstel IZI 10 4G,390.000₫,,"MicroSD, hỗ trợ tối đa 32GB",Xanh Dương,https://www.dienmayxanh.com/dien-thoai/masstel-izi-10-4g,https://cdn.tgdd.vn/Products/Images/42/265311/Slider/Masstel-IZI-10-4G-0601-1020x570.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.77, 262.000 màu |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Danh bạ: 2000 số |Thẻ nhớ: MicroSD, hỗ trợ tối đa 32GB |Radio FM: FM không cần tai nghe |Jack cắm tai nghe: 3.5 mm |Pin: 1000 mAh"
35,Điện thoại Masstel IZI 10 4G,390.000₫,,"MicroSD, hỗ trợ tối đa 32GB",Đen,https://www.dienmayxanh.com/dien-thoai/masstel-izi-10-4g,https://cdn.tgdd.vn/Products/Images/42/265311/Slider/Masstel-IZI-10-4G-0601-1020x570.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.77, 262.000 màu |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Danh bạ: 2000 số |Thẻ nhớ: MicroSD, hỗ trợ tối đa 32GB |Radio FM: FM không cần tai nghe |Jack cắm tai nghe: 3.5 mm |Pin: 1000 mAh"
36,Điện thoại Nokia 105 4G,670.000₫,,48 MB,Đen,https://www.dienmayxanh.com/dien-thoai/nokia-105-4g,https://cdn.tgdd.vn/Products/Images/42/240194/Slider/vi-vn-nokia-105-4g-tinhnang.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.8, QQVGA |Hệ điều hành: Series 30+ |Chip: Unisoc T107 |RAM: 48 MB |Dung lượng lưu trữ: 128 MB |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Pin, Sạc: 1020 mAh"
37,Điện thoại Nokia 105 4G,670.000₫,,48 MB,Xanh ngọc,https://www.dienmayxanh.com/dien-thoai/nokia-105-4g,https://cdn.tgdd.vn/Products/Images/42/240194/Slider/vi-vn-nokia-105-4g-tinhnang.jpg,Điện máy xanh,,"  |Màn hình: TFT LCD, 1.8, QQVGA |Hệ điều hành: Series 30+ |Chip: Unisoc T107 |RAM: 48 MB |Dung lượng lưu trữ: 128 MB |SIM: 2 Nano SIM, Hỗ trợ 4G VoLTE |Pin, Sạc: 1020 mAh"
38,Điện thoại Vivo Y01,2.390.000₫,,32GB,Đen,https://www.dienmayxanh.com/dien-thoai/vivo-y01,https://cdn.tgdd.vn/Products/Images/42/268880/Slider/Vivo-Y01-1020x570.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.51, HD+ |Hệ điều hành: Android 11 (Go Edition) |Camera sau: 8 MP |Camera trước: 5 MP |Chip: MediaTek Helio P35 |RAM: 2 GB |Dung lượng lưu trữ: 32GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
39,Điện thoại Xiaomi Redmi A2+,2.490.000₫,,64GB,Xanh lá,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-a2-plus,https://cdn.tgdd.vn/Products/Images/42/302655/Slider/xiaomi-redmi-a2-plus638180189040524809.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.52, HD+ |Hệ điều hành: Android 13 (Go Edition) |Camera sau: Chính 8 MP & Phụ QVGA (248 x 328 Pixels) |Camera trước: 5 MP |Chip: MediaTek Helio G36 8 nhân |RAM: 3 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
40,Điện thoại Xiaomi Redmi A2+,2.490.000₫,,64GB,Xanh Dương,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-a2-plus,https://cdn.tgdd.vn/Products/Images/42/302655/Slider/xiaomi-redmi-a2-plus638180189040524809.jpg,Điện máy xanh,,"  |Màn hình: IPS LCD, 6.52, HD+ |Hệ điều hành: Android 13 (Go Edition) |Camera sau: Chính 8 MP & Phụ QVGA (248 x 328 Pixels) |Camera trước: 5 MP |Chip: MediaTek Helio G36 8 nhân |RAM: 3 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 10 W"
41,Điện thoại Samsung Galaxy S20 FE (8GB/256GB),9.490.000₫,,256GB,Xanh lá,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s20-fan-edition,https://cdn.tgdd.vn/Products/Images/42/224859/Slider/samsung-galaxy-s20-fan-edition-tongquan-780x433-1.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 12 MP & Phụ 12 MP, 8 MP |Camera trước: 32 MP |Chip: Snapdragon 865 |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G |Pin, Sạc: 4500 mAh, 25 W"
42,Điện thoại Samsung Galaxy A53 5G 128GB,6.790.000₫,,128GB,Cam,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a53,https://cdn.tgdd.vn/Products/Images/42/246196/Slider/Galaxy-A53-5G-1020x570-1.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1280 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
43,Điện thoại Samsung Galaxy A53 5G 128GB,6.790.000₫,,128GB,Đen,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a53,https://cdn.tgdd.vn/Products/Images/42/246196/Slider/Galaxy-A53-5G-1020x570-1.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1280 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
44,Điện thoại Samsung Galaxy A53 5G 128GB,6.790.000₫,,128GB,Xanh Dương,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a53,https://cdn.tgdd.vn/Products/Images/42/246196/Slider/Galaxy-A53-5G-1020x570-1.jpg,Điện máy xanh,,"  |Màn hình: Super AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP |Camera trước: 32 MP |Chip: Exynos 1280 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 25 W"
